,2021 Demand,Annual Surplus,Output/Cap,Market Surplus
0,14112,-893,0.5457772010838453,189.0
1,13504,-609,0.520344228882011,282.0
2,13155,-601,0.5080302403430248,352.0
3,12892,-532,0.5048786870537216,613.0
4,12798,-445,0.4798643966769735,83.0
5,12891,-433,0.4826241924704834,108.0
6,13188,-459,0.4911828590361889,154.0
7,13570,-390,0.5021212786189745,159.0
8,13820,-414,0.5111223824360553,288.0
9,14249,-484,0.5172290150238446,176.0
10,14514,-436,0.5270173937838608,272.0
11,14895,-522,0.5360189741229778,247.0
12,14959,-464,0.5433021151215406,530.0
13,15117,-604,0.5461412036227576,501.0
14,15391,-701,0.5646442632170978,672.0
15,15928,-1175,0.5809649939150977,303.0
16,16544,-1054,0.5705053910722439,-300.0
17,17120,-796,0.5682499659261279,-443.0
18,16774,-566,0.5744818432426914,106.0
19,16385,-474,0.5830871115639328,784.0
20,16206,-671,0.5711633663366337,408.0
21,15888,-666,0.5580367928761261,280.0
22,15269,-843,0.5439963336388635,162.0
23,14476,-778,0.5174111853675695,234.0
24,13827,-831,0.5143791546692261,643.0
25,13453,-791,0.5029952931108258,653.0
26,13177,-742,0.49948097505100764,777.0
27,13145,-780,0.5155897619473778,1258.0
28,13192,-711,0.5067695495302397,994.0
29,13140,-200,0.5084757784240017,1198.0
30,13477,522,0.504244060091629,721.0
31,14173,1065,0.5088601276428851,99.0
32,14661,994,0.5301965284751112,123.0
33,15127,692,0.5324018917650457,-380.0
34,15466,373,0.5655518636232303,193.0
35,15805,41,0.5801838980596583,222.0
36,15849,-164,0.5742080138868798,29.0
37,15914,12,0.5746220068002604,-28.0
38,16003,-71,0.5878887070376432,161.0
39,16178,-130,0.5949027011327331,208.0
40,16800,46,0.6108406597398823,14.0
41,17860,-239,0.6464294781126464,-36.0
42,17594,-263,0.6327313524664326,-111.0
43,16914,185,0.613531985679673,52.0
44,16387,397,0.587710425547287,-118.0
45,15752,253,0.566093507804333,-48.0
46,15083,62,0.5354390261470864,-216.0
47,14236,-82,0.5208204531403425,85.0
48,13620,-251,0.4927671488567429,108.0
49,13214,-238,0.49529095792300804,617.0
50,12962,-374,0.4928367783321454,867.0
51,12834,-264,0.4836673169001596,803.0
52,12802,-43,0.49137900387500444,1020.0
53,13025,394,0.49448790896159317,880.0
54,13440,883,0.49850586979722517,573.0
55,14038,1283,0.5170082550526616,492.0
56,14596,1345,0.5435637195339862,614.0
57,15130,923,0.5512383956414209,249.0
58,15759,580,0.5692951446504582,23.0
59,16215,143,0.5871450249295469,36.0
60,16448,236,0.6000795286122257,152.0
61,16366,378,0.5914440433212996,17.0
62,16296,220,0.5986485509864855,271.0
63,16459,32,0.599566630552546,143.0
64,17056,-65,0.6265060240963856,312.0
65,18098,-423,0.6568461288810357,117.0
66,17672,-444,0.653290587514859,464.0
67,17082,-164,0.626826985384117,330.0
68,16536,133,0.6136849083008028,128.0
69,15956,135,0.5792937047598158,-110.0
70,15196,58,0.5454246695391806,-259.0
71,14424,-120,0.5212965636731158,18.0
72,13765,-95,0.4996745262548821,52.0
73,13538,-301,0.5014093668690373,337.0
74,13199,-257,0.5005420250054202,653.0
75,13121,-307,0.5100310312477448,1014.0
76,13231,-417,0.5233614536015574,1286.0
77,13757,-727,0.5359084200295187,1130.0
78,14922,-1299,0.5540035906642728,507.0
79,16075,-1786,0.5781643067634586,13.0
80,16877,-2023,0.6107158257869771,118.0
81,17157,-1725,0.6388506346075111,7.0
82,17333,-1453,0.6454788617282116,42.0
83,17608,-1483,0.6479976246149278,-149.0
84,17736,-1605,0.6540478226916069,-148.0
85,17664,-1541,0.6507061146924022,-201.0
86,17535,-1453,0.658689098150147,162.0
87,17767,-1628,0.6657130118154121,150.0
88,18272,-1632,0.6920277746834503,365.0
89,19160,-1887,0.6942574824573965,232.0
90,18652,-1767,0.6819500662678655,386.0
91,18161,-1582,0.6473971917539033,-41.0
92,17319,-1068,0.6176764076977904,13.0
93,16617,-829,0.5979667282809612,205.0
94,15890,-867,0.5902974761800859,342.0
95,14902,-689,0.5607901052242938,287.0
96,14278,-600,0.5174450201079671,4.0
97,13901,-745,0.5224972081126842,603.0
98,13538,-707,0.521380806072655,886.0
99,13530,-703,0.5198349500506733,832.0
100,13634,-812,0.5299659395608377,992.0
101,14237,-1243,0.5392899880335061,635.0
102,15241,-1773,0.5543107823943151,48.0
103,16427,-2436,0.5899397983607746,-160.0
104,17150,-2744,0.6141626376822131,-255.0
105,17448,-2721,0.6215243702976775,-348.0
106,17653,-2740,0.6396322626270146,-468.0
107,17777,-2798,0.6331507849580139,-435.0
108,17732,-2524,0.6296485157530505,-445.0
109,17663,-2251,0.6343796602771614,-222.0
110,17558,-1808,0.6380263253581557,-11.0
111,17844,-1852,0.6451928299837045,-27.0
112,18382,-1536,0.6685250886974151,84.0
113,19275,-1390,0.6937328122738458,-103.0
114,18828,-1211,0.683698208793197,66.0
115,18286,-998,0.6692001447701773,204.0
116,17825,-972,0.6524339410634673,175.0
117,17086,-879,0.6298210881360904,93.0
118,16046,-692,0.575033440584216,-140.0
119,15059,-582,0.5512561362980075,213.0
120,14391,-463,0.5335282228959145,392.0
121,13930,-301,0.5283644808138892,404.0
122,13857,-373,0.5319729899265709,560.0
123,13915,-461,0.5248516857184199,594.0
124,13862,-260,0.5358056726853353,1005.0
125,14245,-39,0.5523689877961234,1144.0
126,15225,314,0.5772220829004406,887.0
127,16510,482,0.6107756451728847,483.0
128,17118,7,0.6316812439261419,432.0
129,17428,-373,0.6346416014924302,262.0
130,17474,-525,0.6438590116279069,245.0
131,17614,-768,0.6470286509855646,46.0
132,17518,-780,0.6269409660107335,5.0
133,17369,-821,0.6184795070220693,-106.0
134,17312,-893,0.6231572151081459,61.0
135,17618,-895,0.6291493030607846,-105.0
136,18238,-570,0.6513386616967134,-65.0
137,19369,-689,0.6948424068767909,31.0
138,18696,-328,0.6820167585762372,350.0
139,18124,72,0.654108976423026,159.0
140,17644,173,0.6466712522173551,219.0
141,17133,-11,0.6179340754662426,-36.0
142,16169,-91,0.5871683515200176,-80.0
143,15126,-245,0.545746962115797,144.0
144,14453,-106,0.5257982622376373,252.0
145,14068,-58,0.529051878354204,719.0
146,13784,-3,0.5258816837315131,1008.0
147,13702,165,0.5357761822233226,1446.0
148,13767,307,0.5542291710683851,1972.0
149,14320,286,0.5719603849125519,1966.0
150,15305,626,0.586805066854328,1372.0
151,16530,805,0.6192658933041854,1033.0
152,17182,365,0.632637195660624,721.0
153,17541,-178,0.6315547052154195,284.0
154,17457,-302,0.6327657452265603,306.0
155,17386,-517,0.6324902030637691,368.0
156,17161,-653,0.6240717488789238,235.0
157,16891,-558,0.6190943451083006,144.0
158,16651,-212,0.6070020784060776,288.0
159,16822,-107,0.612030451409986,302.0
160,17777,-378,0.6410977432903823,234.0
161,19178,-912,0.6865343727852586,196.0
162,18988,-870,0.6777298138843677,166.0
